{'epochs': 5, 'sg': 1, 'vector_size': 50, 'window': 10} -> 0.55538132695304
{'epochs': 10, 'sg': 1, 'vector_size': 50, 'window': 10} -> 0.5600422201176011
{'epochs': 20, 'sg': 1, 'vector_size': 50, 'window': 10} -> 0.5707512863907391
{'epochs': 5, 'sg': 1, 'vector_size': 50, 'window': 5} -> 0.5774646656031192
{'epochs': 10, 'sg': 1, 'vector_size': 50, 'window': 5} -> 0.584635035953901
{'epochs': 20, 'sg': 1, 'vector_size': 50, 'window': 5} -> 0.5967364574052009
{'epochs': 5, 'sg': 1, 'vector_size': 100, 'window': 10} -> 0.6179169542041717
{'epochs': 10, 'sg': 1, 'vector_size': 50, 'window': 2} -> 0.6250138894937068
{'epochs': 5, 'sg': 1, 'vector_size': 50, 'window': 2} -> 0.6263788621831115
{'epochs': 20, 'sg': 1, 'vector_size': 50, 'window': 2} -> 0.6278027783189581
{'epochs': 10, 'sg': 1, 'vector_size': 100, 'window': 10} -> 0.6370455742518191
{'epochs': 5, 'sg': 1, 'vector_size': 100, 'window': 5} -> 0.6435159841916989
{'epochs': 20, 'sg': 1, 'vector_size': 100, 'window': 10} -> 0.6502939212359871
{'epochs': 10, 'sg': 1, 'vector_size': 100, 'window': 5} -> 0.6583604745894907
{'epochs': 20, 'sg': 1, 'vector_size': 100, 'window': 5} -> 0.6727654248067264
{'epochs': 5, 'sg': 1, 'vector_size': 200, 'window': 10} -> 0.6759631374759987
{'epochs': 5, 'sg': 1, 'vector_size': 100, 'window': 2} -> 0.6843965845449692
{'epochs': 5, 'sg': 1, 'vector_size': 200, 'window': 5} -> 0.6937624064724232
{'epochs': 10, 'sg': 1, 'vector_size': 100, 'window': 2} -> 0.6979863790327958
{'epochs': 10, 'sg': 1, 'vector_size': 200, 'window': 10} -> 0.7067511369643537
{'epochs': 20, 'sg': 1, 'vector_size': 100, 'window': 2} -> 0.7090631223146879
{'epochs': 10, 'sg': 1, 'vector_size': 200, 'window': 5} -> 0.7228572590758261
{'epochs': 20, 'sg': 1, 'vector_size': 200, 'window': 10} -> 0.7237673046868219
{'epochs': 5, 'sg': 1, 'vector_size': 200, 'window': 2} -> 0.7281770276635625
{'epochs': 20, 'sg': 1, 'vector_size': 200, 'window': 5} -> 0.7471352708457184
{'epochs': 10, 'sg': 1, 'vector_size': 200, 'window': 2} -> 0.7574781134502652
{'epochs': 20, 'sg': 1, 'vector_size': 200, 'window': 2} -> 0.7799238791104737
{'epochs': 20, 'sg': 0, 'vector_size': 50, 'window': 10} -> 0.7918868053726912
{'epochs': 20, 'sg': 0, 'vector_size': 50, 'window': 5} -> 0.7995826630774614
{'epochs': 20, 'sg': 0, 'vector_size': 50, 'window': 2} -> 0.8055178470259088
{'epochs': 20, 'sg': 0, 'vector_size': 100, 'window': 10} -> 0.8157958231213469
{'epochs': 20, 'sg': 0, 'vector_size': 100, 'window': 5} -> 0.8245720724205552
{'epochs': 10, 'sg': 0, 'vector_size': 50, 'window': 10} -> 0.8288804471405856
{'epochs': 20, 'sg': 0, 'vector_size': 200, 'window': 10} -> 0.8338726349913987
{'epochs': 10, 'sg': 0, 'vector_size': 50, 'window': 2} -> 0.8371081274711111
{'epochs': 20, 'sg': 0, 'vector_size': 100, 'window': 2} -> 0.839801466192899
{'epochs': 10, 'sg': 0, 'vector_size': 50, 'window': 5} -> 0.8405930312293046
{'epochs': 10, 'sg': 0, 'vector_size': 100, 'window': 10} -> 0.8438153226909166
{'epochs': 20, 'sg': 0, 'vector_size': 200, 'window': 5} -> 0.848232322934189
{'epochs': 10, 'sg': 0, 'vector_size': 200, 'window': 10} -> 0.8510058356531268
{'epochs': 10, 'sg': 0, 'vector_size': 100, 'window': 5} -> 0.8543614566688585
{'epochs': 10, 'sg': 0, 'vector_size': 100, 'window': 2} -> 0.8586837274564169
{'epochs': 5, 'sg': 0, 'vector_size': 50, 'window': 2} -> 0.8637289382061297
{'epochs': 10, 'sg': 0, 'vector_size': 200, 'window': 5} -> 0.8659253937498225
{'epochs': 5, 'sg': 0, 'vector_size': 50, 'window': 10} -> 0.8667843762558468
{'epochs': 20, 'sg': 0, 'vector_size': 200, 'window': 2} -> 0.8676658915210728
{'epochs': 10, 'sg': 0, 'vector_size': 200, 'window': 2} -> 0.8727346508375768
{'epochs': 5, 'sg': 0, 'vector_size': 100, 'window': 2} -> 0.8777844809484876
{'epochs': 5, 'sg': 0, 'vector_size': 100, 'window': 10} -> 0.8814665731799214
{'epochs': 5, 'sg': 0, 'vector_size': 200, 'window': 10} -> 0.8830664120799637
{'epochs': 5, 'sg': 0, 'vector_size': 200, 'window': 2} -> 0.8836903947134177
{'epochs': 5, 'sg': 0, 'vector_size': 50, 'window': 5} -> 0.8844702592285507
{'epochs': 5, 'sg': 0, 'vector_size': 100, 'window': 5} -> 0.8917970729349668
{'epochs': 5, 'sg': 0, 'vector_size': 200, 'window': 5} -> 0.8978691275613163
