{'epochs': 5, 'sg': 1, 'vector_size': 15, 'window': 10} -> 0.38703091299607423
{'epochs': 8, 'sg': 1, 'vector_size': 15, 'window': 10} -> 0.38780395781142457
{'epochs': 3, 'sg': 1, 'vector_size': 15, 'window': 10} -> 0.39179346938399207
{'epochs': 8, 'sg': 1, 'vector_size': 15, 'window': 5} -> 0.40069795448117645
{'epochs': 5, 'sg': 1, 'vector_size': 15, 'window': 5} -> 0.4125249547295823
{'epochs': 3, 'sg': 1, 'vector_size': 15, 'window': 5} -> 0.4295214954038226
{'epochs': 8, 'sg': 1, 'vector_size': 15, 'window': 2} -> 0.4351817250672307
{'epochs': 5, 'sg': 1, 'vector_size': 15, 'window': 2} -> 0.46105694614951015
{'epochs': 3, 'sg': 1, 'vector_size': 30, 'window': 10} -> 0.48311450675895035
{'epochs': 5, 'sg': 1, 'vector_size': 30, 'window': 10} -> 0.48789678087034055
{'epochs': 3, 'sg': 1, 'vector_size': 15, 'window': 2} -> 0.48827002208664294
{'epochs': 8, 'sg': 1, 'vector_size': 30, 'window': 10} -> 0.5000470342409902
{'epochs': 5, 'sg': 1, 'vector_size': 30, 'window': 5} -> 0.5143424715343874
{'epochs': 8, 'sg': 1, 'vector_size': 30, 'window': 5} -> 0.517234029956125
{'epochs': 3, 'sg': 1, 'vector_size': 30, 'window': 5} -> 0.522576049917141
{'epochs': 3, 'sg': 1, 'vector_size': 50, 'window': 10} -> 0.5449311753184953
{'epochs': 5, 'sg': 1, 'vector_size': 50, 'window': 10} -> 0.5515265662947411
{'epochs': 8, 'sg': 1, 'vector_size': 30, 'window': 2} -> 0.5579737474621189
{'epochs': 8, 'sg': 1, 'vector_size': 50, 'window': 10} -> 0.5590937326788845
{'epochs': 5, 'sg': 1, 'vector_size': 30, 'window': 2} -> 0.5649760988241067
{'epochs': 3, 'sg': 1, 'vector_size': 50, 'window': 5} -> 0.5732106992056623
{'epochs': 5, 'sg': 1, 'vector_size': 50, 'window': 5} -> 0.5740072130382581
{'epochs': 3, 'sg': 1, 'vector_size': 30, 'window': 2} -> 0.5747629405731174
{'epochs': 8, 'sg': 1, 'vector_size': 50, 'window': 5} -> 0.5831083556264703
{'epochs': 3, 'sg': 1, 'vector_size': 50, 'window': 2} -> 0.6240465470830421
{'epochs': 8, 'sg': 1, 'vector_size': 50, 'window': 2} -> 0.6240572903154576
{'epochs': 5, 'sg': 1, 'vector_size': 50, 'window': 2} -> 0.6245276205294721
{'epochs': 8, 'sg': 0, 'vector_size': 15, 'window': 2} -> 0.7769735602942553
{'epochs': 5, 'sg': 0, 'vector_size': 15, 'window': 2} -> 0.7893188748809324
{'epochs': 8, 'sg': 0, 'vector_size': 15, 'window': 10} -> 0.7960448629993541
{'epochs': 3, 'sg': 0, 'vector_size': 15, 'window': 2} -> 0.8072526043686143
{'epochs': 8, 'sg': 0, 'vector_size': 15, 'window': 5} -> 0.807696763568597
{'epochs': 8, 'sg': 0, 'vector_size': 30, 'window': 2} -> 0.8221273582155381
{'epochs': 8, 'sg': 0, 'vector_size': 30, 'window': 10} -> 0.8321768840284386
{'epochs': 5, 'sg': 0, 'vector_size': 15, 'window': 5} -> 0.8333839433817748
{'epochs': 5, 'sg': 0, 'vector_size': 15, 'window': 10} -> 0.8342334118993655
{'epochs': 5, 'sg': 0, 'vector_size': 30, 'window': 2} -> 0.8411377567571273
{'epochs': 8, 'sg': 0, 'vector_size': 30, 'window': 5} -> 0.8427450946195768
{'epochs': 8, 'sg': 0, 'vector_size': 50, 'window': 10} -> 0.8454756766101725
{'epochs': 8, 'sg': 0, 'vector_size': 50, 'window': 2} -> 0.846485493402392
{'epochs': 3, 'sg': 0, 'vector_size': 15, 'window': 5} -> 0.8522398440214205
{'epochs': 3, 'sg': 0, 'vector_size': 15, 'window': 10} -> 0.8538221469827888
{'epochs': 3, 'sg': 0, 'vector_size': 30, 'window': 2} -> 0.8545597139997008
{'epochs': 8, 'sg': 0, 'vector_size': 50, 'window': 5} -> 0.859072960431663
{'epochs': 5, 'sg': 0, 'vector_size': 50, 'window': 2} -> 0.8598861349743336
{'epochs': 5, 'sg': 0, 'vector_size': 30, 'window': 10} -> 0.8659530475756583
{'epochs': 3, 'sg': 0, 'vector_size': 50, 'window': 2} -> 0.8696217745352971
{'epochs': 5, 'sg': 0, 'vector_size': 50, 'window': 10} -> 0.8696919115644496
{'epochs': 5, 'sg': 0, 'vector_size': 30, 'window': 5} -> 0.8719587306855643
{'epochs': 5, 'sg': 0, 'vector_size': 50, 'window': 5} -> 0.8870883486498904
{'epochs': 3, 'sg': 0, 'vector_size': 30, 'window': 10} -> 0.8881735312187637
{'epochs': 3, 'sg': 0, 'vector_size': 50, 'window': 10} -> 0.8969098171314653
{'epochs': 3, 'sg': 0, 'vector_size': 30, 'window': 5} -> 0.8986601603363565
{'epochs': 3, 'sg': 0, 'vector_size': 50, 'window': 5} -> 0.9022114387767982
