{'epochs': 5, 'sg': 0, 'vector_size': 100, 'window': 10} -> 0.25433331463510406
{'epochs': 5, 'sg': 0, 'vector_size': 100, 'window': 20} -> 0.2600549727940764
{'epochs': 5, 'sg': 0, 'vector_size': 100, 'window': 25} -> 0.2653839681382173
{'epochs': 5, 'sg': 0, 'vector_size': 250, 'window': 10} -> 0.26919840691086555
{'epochs': 5, 'sg': 0, 'vector_size': 200, 'window': 10} -> 0.27082515285802433
{'epochs': 5, 'sg': 0, 'vector_size': 250, 'window': 20} -> 0.2735176978740113
{'epochs': 5, 'sg': 0, 'vector_size': 200, 'window': 20} -> 0.27559320132383464
{'epochs': 5, 'sg': 0, 'vector_size': 250, 'window': 25} -> 0.2765468110169967
{'epochs': 5, 'sg': 0, 'vector_size': 200, 'window': 25} -> 0.2779491782128232
{'epochs': 5, 'sg': 1, 'vector_size': 250, 'window': 10} -> 0.2889998317159365
{'epochs': 5, 'sg': 1, 'vector_size': 100, 'window': 25} -> 0.29101924047792677
{'epochs': 5, 'sg': 1, 'vector_size': 100, 'window': 10} -> 0.29292645986425087
{'epochs': 5, 'sg': 1, 'vector_size': 100, 'window': 20} -> 0.29337521736691535
{'epochs': 5, 'sg': 1, 'vector_size': 250, 'window': 20} -> 0.30010657990688283
{'epochs': 5, 'sg': 1, 'vector_size': 200, 'window': 10} -> 0.300274863970382
{'epochs': 5, 'sg': 1, 'vector_size': 250, 'window': 25} -> 0.30453806024569474
{'epochs': 5, 'sg': 1, 'vector_size': 200, 'window': 20} -> 0.30599652212935435
{'epochs': 5, 'sg': 1, 'vector_size': 200, 'window': 25} -> 0.3115498962248275
{'epochs': 10, 'sg': 0, 'vector_size': 100, 'window': 10} -> 0.31491557749481125
{'epochs': 10, 'sg': 0, 'vector_size': 100, 'window': 25} -> 0.31940315252145624
{'epochs': 10, 'sg': 1, 'vector_size': 100, 'window': 10} -> 0.3286026813260784
{'epochs': 10, 'sg': 0, 'vector_size': 100, 'window': 20} -> 0.3308464688394009
{'epochs': 10, 'sg': 1, 'vector_size': 100, 'window': 25} -> 0.33578280136871036
{'epochs': 10, 'sg': 1, 'vector_size': 100, 'window': 20} -> 0.3384753463846974
{'epochs': 10, 'sg': 1, 'vector_size': 250, 'window': 10} -> 0.33875581982386266
{'epochs': 10, 'sg': 0, 'vector_size': 200, 'window': 10} -> 0.35109665114713634
{'epochs': 10, 'sg': 1, 'vector_size': 200, 'window': 10} -> 0.3519380714646323
{'epochs': 10, 'sg': 0, 'vector_size': 250, 'window': 25} -> 0.3540135749144556
{'epochs': 10, 'sg': 1, 'vector_size': 200, 'window': 20} -> 0.35765972962360465
{'epochs': 10, 'sg': 1, 'vector_size': 250, 'window': 20} -> 0.3586694340045998
{'epochs': 10, 'sg': 0, 'vector_size': 250, 'window': 10} -> 0.3596230436977618
{'epochs': 10, 'sg': 0, 'vector_size': 200, 'window': 20} -> 0.3620351152745835
{'epochs': 10, 'sg': 0, 'vector_size': 200, 'window': 25} -> 0.36282044090424637
{'epochs': 10, 'sg': 0, 'vector_size': 250, 'window': 20} -> 0.3629326302799125
{'epochs': 10, 'sg': 1, 'vector_size': 200, 'window': 25} -> 0.3648398496662366
{'epochs': 10, 'sg': 1, 'vector_size': 250, 'window': 25} -> 0.3652886071689011
